won,round,prompt file,seed,ai total towers,ai guesses,ai bad parses\n1,13,prompt/NAVY_SEAL,0,28,0,0
1,12,prompt/NAVY_SEAL,1,24,0,0
1,11,prompt/NAVY_SEAL,2,21,0,0
1,13,prompt/NAVY_SEAL,3,28,0,0
1,13,prompt/NAVY_SEAL,4,28,0,0
1,11,prompt/NAVY_SEAL,5,21,0,0
1,11,prompt/NAVY_SEAL,6,21,0,0
1,11,prompt/NAVY_SEAL,7,21,0,0
1,11,prompt/NAVY_SEAL,8,21,0,0
1,16,prompt/NAVY_SEAL,9,40,0,0
2,13,prompt/NAVY_SEAL,10,28,0,0
1,12,prompt/NAVY_SEAL,11,24,0,0
1,13,prompt/NAVY_SEAL,12,28,0,0
1,13,prompt/NAVY_SEAL,13,28,0,0
1,13,prompt/NAVY_SEAL,14,28,0,0
1,14,prompt/NAVY_SEAL,15,32,0,0
1,11,prompt/NAVY_SEAL,16,21,0,0
1,12,prompt/NAVY_SEAL,17,24,0,0
1,13,prompt/NAVY_SEAL,18,28,0,0
2,14,prompt/NAVY_SEAL,19,32,0,0
1,12,prompt/NAVY_SEAL,20,24,0,0
1,10,prompt/NAVY_SEAL,21,18,0,0
1,11,prompt/NAVY_SEAL,22,21,0,0
1,14,prompt/NAVY_SEAL,23,32,0,0
1,12,prompt/NAVY_SEAL,24,24,0,0
1,15,prompt/NAVY_SEAL,25,36,0,0
1,13,prompt/NAVY_SEAL,26,28,0,0
1,14,prompt/NAVY_SEAL,27,32,0,0
1,13,prompt/NAVY_SEAL,28,28,0,0
2,12,prompt/NAVY_SEAL,29,24,0,0
1,11,prompt/NAVY_SEAL,30,21,0,0
1,14,prompt/NAVY_SEAL,31,32,0,0
2,14,prompt/NAVY_SEAL,32,32,0,0
2,14,prompt/NAVY_SEAL,33,32,0,0
1,15,prompt/NAVY_SEAL,34,36,0,0
1,12,prompt/NAVY_SEAL,35,24,0,0
2,14,prompt/NAVY_SEAL,36,32,0,0
1,14,prompt/NAVY_SEAL,37,32,0,0
1,16,prompt/NAVY_SEAL,38,40,0,0
1,12,prompt/NAVY_SEAL,39,24,0,0
1,13,prompt/NAVY_SEAL,40,28,0,0
1,14,prompt/NAVY_SEAL,41,32,0,0
1,14,prompt/NAVY_SEAL,42,32,0,0
1,13,prompt/NAVY_SEAL,43,28,0,0
1,12,prompt/NAVY_SEAL,44,24,0,0
1,13,prompt/NAVY_SEAL,45,28,0,0
1,11,prompt/NAVY_SEAL,46,21,0,0
1,14,prompt/NAVY_SEAL,47,32,0,0
1,13,prompt/NAVY_SEAL,48,28,0,0
1,13,prompt/NAVY_SEAL,49,28,0,0
